Orden;Clase de orden;Ubicac.técnica;Fe.inic.extrema;Texto breve;Status usuario;Status sistema;Cl.actividad PM;Cst.tot.reales;Ce.emplazam.;Fe.inicio real;Fecha fin real;Plan mant.prev.;Pos.mantenim.;;
10032937;PM01;COL-PC-FLEX-FL3110B;27/10/2021;SERVICIO DE AFILADO DE CUCHILLAS;ESPS CREA;LIB. NOTP KKMP NLIQ PREC;1;190,79;CEGS;27/06/2021;;0;0;;
10033272;PM02;COL-SV-STAP-P9500A;27/10/2021;Mant. Bomba sumergible (P-9500A);CREA;LIB. IMPR EDET KKMP NLIQ PREC;1;0,00;CEGS;;;150226;1908;;
10033273;PM02;COL-SV-STAP-P9500B;27/10/2021;Mant. Bomba sumergible (P-9500B);CREA;LIB. IMPR EDET KKMP NLIQ PREC;1;0,00;CEGS;;;150229;1911;;
10033790;PM02;DAL-LD-ENVA-FL4200A;27/10/2021;Mantenimiento a llenadora A (UHT);ESPR;LIB. KKMP NLIQ PREC;1;0,00;CEGD;;;150403;2335;;
10033795;PM02;DAL-OP-QANA;27/10/2021;Inspección a fundidoras Quesós Análogos;ESPR;LIB. KKMP NLIQ PREC;3;0,00;CEGD;;;150370;2281;;
10033797;PM02;DAL-QP-ENVA;27/10/2021;Insp motores eléctr. Envasado 1;ESPR;LIB. KKMP NLIQ PREC;3;0,00;CEGD;;;150156;1792;;
10033798;PM02;DAL-QP-ENVA;27/10/2021;Insp motores eléctr. Envasado 2;ESPR;LIB. KKMP NLIQ PREC;3;0,00;CEGD;;;150156;1795;;
10033830;PM02;PAR-SV-ACOM-Z9300A;27/10/2021;Mantenimiento a secador de aire 1M;CREA;ABIE KKMP PREC;1;0,00;CEPF;;;150450;2401;;
10033831;PM02;PAR-SV-ELEC;27/10/2021;Inspección a transformadores de potencia;CREA;ABIE KKMP PREC;3;0,00;CEPF;;;150503;2456;;
10033832;PM02;PAR-SV-ACOM-K9300A;27/10/2021;Mantenimiento a compresor de aire 1M;CREA;ABIE KKMP PREC;1;0,00;CEPF;;;150433;2375;;
10033833;PM02;PAR-AX-EPOR-CD8301;27/10/2021;Mantenimiento a codificadora CD-8301;CREA;ABIE EDET KKMP PREC;1;0,00;CEPF;;;150523;2467;;
10033835;PM02;PAR-AX-EPOR-CD8302;27/10/2021;Mantenimiento a codificadora CD-8302;CREA;ABIE EDET KKMP PREC;1;0,00;CEPF;;;150524;2468;;
10033841;PM01;PAR-MS-EMPA-CYM1310A;27/10/2021;SONIDO EXTRAÑO EN MOTOR ELECTRICO ALIMEN;EMAT;LIB. KKMP NLIQ PREC;1;0,00;CEPF;;;0;0;;
10033852;PM01;COL-P1-EVAP;27/10/2021;Engrase de motores de evaporación;PROG CREA;LIB. KKMP NLIQ PREC;1;0,00;CEGS;;;0;0;;
10033853;PM01;DAL-QP-ENVA-TP1220;27/10/2021;Reemplazar Goma de Arrastre;PROG;LIB. MACO NLIQ PREC;1;0,00;CEGD;;;0;0;;
10033142;PM01;COL-SV-SREF-KM9400B;26/10/2021;Reparar motor compresor MYCOM #2;ESPS CREA;LIB. EDET MACO MOVM NLIQ PREC;1;2.087,74;CEGS;;;0;0;;
10033850;PM01;DAL-QP-PPRE-Z1110;26/10/2021;COLOCAR TORNILLO VOLTEADOR DE TAMBOR;EJEC;LIB. KKMP NLIQ PREC;1;0,00;CEGD;;;0;0;;
10033851;PM01;DAL-SV-LIMP;26/10/2021;Descargar programa CIP;EJEC;LIB. KKMP NLIQ PREC;1;0,00;CEGD;;;0;0;;
10033769;PM02;COL-P1-SECA-BLM1420;25/10/2021;Mant. Motor electrico BLM1420;CREA;ABIE KKMP PREC;1;0,00;CEGS;;;150334;2205;;
10033788;PM02;DAL-SV-SVAP-B9100A;25/10/2021;Mantenimeinto a caldera;ESPR;LIB. KKMP NLIQ PREC;1;0,00;CEGD;;;150398;2330;;
10033829;PM01;COL-AX-AUTO;25/10/2021;SUMINISTRO ACEITE MONTACARGAS 3;PROG CREA;LIB. FCAP MACO MOVM NLIQ PREC;1;17,13;CEGS;;;0;0;;
10033796;PM02;DAL-OP-QANA;24/10/2021;Inspección a sistema de hilado;ESPR;LIB. FCAP KKMP NLIQ PREC;3;0,00;CEGD;;;150402;2334;;
10033799;PM02;DAL-QP-PPRE;24/10/2021;Inspección a fundidoras;ESPR;LIB. FCAP KKMP NLIQ PREC;3;0,00;CEGD;;;150244;1963;;
10033800;PM02;DAL-QP-PPRE;24/10/2021;Inspección Conjunto Motor-Extractor;ESPR;LIB. FCAP KKMP NLIQ PREC;1;0,00;CEGD;;;150244;2405;;
