Aviso;Clase de aviso;Ubicac.técnica;Denominación;Descripción;Fecha de aviso;Hora del aviso;Código averia;TextoCódProblem;Falla de Equipo;Repercusión;Inicio avería;Hora in.avería;Fin de avería;Hora fin avería;Duración falla;Cód.parte obj.;TextoCódPartObj;Causas avería;Txt. cód. mot.;Status sistema;Status usuario;Orden;Fecha de cierre;Ce.emplazam.
10015001;M2;DAL-QP-ENVA-TP1220;Tapadora de vasos;FALLA EN LA TAPADORA;27/10/2021;8:52:26;TMC;Tapas mal colocadas;X;2;27/10/2021;8:52:26 a. m.;;12:00:00 a. m.;0,00;;;;;METR ORAS;CREA;10033853;;CEGD
10015002;M2;DAL-QP-EMPA-ET1340;Colocadora de mangas;FALLA EN COLOCADORA DE MANGAS;27/10/2021;8:54:24;EET;Enrollamiento de etiqueta;X;2;27/10/2021;8:54:24 a. m.;;12:00:00 a. m.;0,00;;;;;MEAB;CREA;;;CEGD
10015000;M2;COL-P1-EVAP;Evaporación;Engrase de motores de evaporación;27/10/2021;8:20:31;ZOT;Otro síntoma;;2;27/10/2021;8:20:31 a. m.;;12:00:00 a. m.;0,00;ZOT;Otro;CCO;Causas combinadas;METR ORAS;CREA;10033852;;CEGS
10014999;M2;DAL-SV-LIMP;Sistema de Limpieza;perdida de programa CIP;26/10/2021;17:16:04;NAS;No arranca bajo solicitud;X;2;26/10/2021;5:16:04 p. m.;26/10/2021;6:00:00 p. m.;0,73;ZOT;Otro;CDE;Causa desconocida;METR ORAS;CREA;10033851;;CEGD
10014996;M2;DAL-QP-PPRE-Z1110;Volteador de tambores;FALLA EN VOLTEADOR DE TAMBOR;26/10/2021;11:30:53;ZOT;Otro síntoma;X;2;26/10/2021;11:30:53 a. m.;26/10/2021;11:40:00 a. m.;0,15;ZOT;Otro;MIN;Mantenimiento inadecuado;METR ORAS;CREA;10033850;;CEGD
10014997;M2;DAL-LD-STER-HG4100A;Homogeneizador A de producto;Fuga en el Homogeneizador;26/10/2021;15:51:53;FEX;Fuga externa;;;26/10/2021;3:51:53 p. m.;;12:00:00 a. m.;0,00;;;;;MEAB;CREA;;;CEGD
10014998;M2;DAL-LD-ENVA-FL4200A;Llenadora A de producto;Conjunto de sellado sin calibracion C1;26/10/2021;15:55:24;PDS;Problemas de sellado;;;26/10/2021;3:55:24 p. m.;;12:00:00 a. m.;0,00;;;;;MEAB;CREA;;;CEGD
10014995;M2;PAR-MS-EMPA-CYM1310A;Motor de alimentador A llenadora FL1310A;SONIDO EXTRAÑO EN MOTOR ELECTRICO ALIMEN;26/10/2021;10:07:53;RUI;Ruido anormal;;1;26/10/2021;10:07:53 a. m.;;12:00:00 a. m.;0,00;ROD;Rodamiento;ZOT;Otra;METR ORAS;CREA;10033841;;CEPF
10014990;M2;DAL-QN-RALM-Z2100B;Eliminador de aire módulo recibo 2; fuga en el eliminador de aire;25/10/2021;6:29:47;FEX;Fuga externa;;2;25/10/2021;6:29:47 a. m.;;12:00:00 a. m.;0,00;;;;;MEAB;CREA;;;CEGD
10014991;M2;COL-AX-AUTO;Vehículos;SUMINISTRO ACEITE MONTACARGAS 3;25/10/2021;6:14:34;ZOT;Otro síntoma;;2;25/10/2021;6:14:34 a. m.;;12:00:00 a. m.;0,00;;;;;METR ORAS;CREA;10033829;;CEGS
10014993;M2;COL-P1-RALM;Recepción y Almacenamiento;SISTEMA DE ENFRIAMIENTO DE SILOS.;25/10/2021;13:56:58;ZOT;Otro síntoma;;1;25/10/2021;1:56:58 p. m.;;12:00:00 a. m.;0,00;;;;;MEAB;CREA;;;CEGS
10014994;M2;COL-PC-FLEX-HP3110A;Tolva de llenadora FL3110A;Calibración de balanza Garvens A.;25/10/2021;15:45:58;ZOT;Otro síntoma;;2;25/10/2021;3:45:58 p. m.;;12:00:00 a. m.;0,00;;;;;MEAB;CREA;;;CEGS
10014987;M2;COL-PC-FLEX;Llenaje de flexibles;Desmontar bandas de arrastre;23/10/2021;7:57:51;ZOT;Otro síntoma;;1;23/10/2021;7:57:51 a. m.;;12:00:00 a. m.;0,00;;;;;MEAB;CREA;;;CEGS
10014989;M2;COL-P1-SECA-BLM1420;Motor de extractor BL1420;motor de V. ciclon caliente se apaga;23/10/2021;14:33:48;NAS;No arranca bajo solicitud;X;3;23/10/2021;2:33:48 p. m.;;12:00:00 a. m.;0,00;;;;;MEAB;CREA;;;CEGS
10014988;M2;COL-P1-SECA-Z1450;Termoselladora de sacos;mal sellado selladora de sala de sacos;23/10/2021;14:27:11;ZOT;Otro síntoma;;2;23/10/2021;2:27:11 p. m.;;12:00:00 a. m.;0,00;;;;;MEAB;CREA;;;CEGS
10014982;M2;DAL-OP-QANA-FD3230A;Fundidora A para quesos análogos;FALLA EN FUNDIDORA DE 1500 LB;22/10/2021;10:45:17;FEX;Fuga externa;;1;22/10/2021;10:45:17 a. m.;;12:00:00 a. m.;0,00;TUB;Tubería;DES;Deterioro esperado;METR ORAS;CREA;10033840;;CEGD
10014979;M2;DAL-QP-ENVA-FC1221;Convert. frec. motor de tapadora TP1220;FALLA EN LA TAPADORA;22/10/2021;6:27:47;NAS;No arranca bajo solicitud;X;3;22/10/2021;6:27:47 a. m.;22/10/2021;8:54:00 a. m.;2,44;ZOT;Otro;MIN;Mantenimiento inadecuado;METR ORAS;CREA;10033822;;CEGD
10014986;M2;DAL-QN-COAG-PK2460;Empacadora de vacío;maquina de vacio;22/10/2021;16:16:19;NHV;No hace vacío;;1;22/10/2021;4:16:19 p. m.;;12:00:00 a. m.;0,00;;;;;MEAB;CREA;;;CEGD
10014984;M2;COL-PC-FLEX-CY3112A1;Transportador de CY3111A3 a CY3112A2;banda de transportador fuera de guia;22/10/2021;15:45:15;CFG;Cinta fuera de la guía;;1;22/10/2021;3:45:15 p. m.;;12:00:00 a. m.;0,00;;;;;MEAB;CREA;;;CEGS
10014980;M2;COL-PC-FLEX-FL3110B;Llenadora y formadora B de empaques;mordaza floja en sellado horizontal;22/10/2021;9:55:00;PDS;Problemas de sellado;;3;22/10/2021;9:55:00 a. m.;;12:00:00 a. m.;0,00;;;;;MEAB;CREA;;;CEGS
10014985;M2;COL-AX-AACO-AA8012;Compacto n°1 sal llnje sal fab n°2;No enciende aire acondicionado;22/10/2021;15:48:35;NAS;No arranca bajo solicitud;X;2;22/10/2021;3:48:35 p. m.;;12:00:00 a. m.;0,00;;;;;MEAB;CREA;;;CEGS
10014974;M1;DAL-QP;Quesos Procesados;CAMBIO DE LAMPARA CAVA 12;21/10/2021;11:15:31;ZOT;Otro síntoma;;;21/10/2021;11:19:22 a. m.;;12:00:00 a. m.;0,00;ZOT;Otro;;;MEAB;CREA;;;CEGD
10014978;M2;DAL-QN-COAG-AM2420C;Motor liras agitación/corte tina coag. C;Lira tina 3 rota;21/10/2021;16:48:55;DES;Deficiencia estructural;;2;21/10/2021;4:48:55 p. m.;;12:00:00 a. m.;0,00;;;;;MEAB;CREA;;;CEGD
10014972;M2;DAL-LD-ENVA-FL4200A;Llenadora A de producto;DESGASTE DE GOMA (EMPALME CAB 2);21/10/2021;4:48:22;PDS;Problemas de sellado;;1;21/10/2021;4:48:22 a. m.;;12:00:00 a. m.;0,00;ZOT;Otra;DES;Deterioro esperado;METR ORAS;CREA;10033818;;CEGD
10014977;M2;COL-P1-EVAP;Evaporación;conexion del tercer efecto fuga de produ;21/10/2021;14:11:42;FEX;Fuga externa;;2;21/10/2021;2:11:42 p. m.;;12:00:00 a. m.;0,00;;;;;MEAB;CREA;;;CEGS
10014975;M2;COL-PC-FLEX;Llenaje de flexibles;cambio de formato en sala de embalaje;21/10/2021;12:39:51;ZOT;Otro síntoma;;1;21/10/2021;12:39:51 p. m.;;12:00:00 a. m.;0,00;;;;;MEAB;CREA;;;CEGS
10014976;M2;COL-P1-SECA-M1420;Ciclón caliente para secado de polvos;motor de V. ciclon caliente se apaga;21/10/2021;14:05:33;PMS;Problemas menores de servicio;;2;21/10/2021;2:05:33 p. m.;;12:00:00 a. m.;0,00;;;;;MEAB;CREA;;;CEGS
10014971;M2;COL-PC-FLEX-FL3110B;Llenadora y formadora B de empaques;tapa de cierre rota;21/10/2021;8:23:29;NDP;No descarga producto;;3;21/10/2021;8:23:29 a. m.;;12:00:00 a. m.;0,00;;;;;MEAB;CREA;;;CEGS
10014970;M2;DAL-OP-QANA-PM3250;Motor de bomba recirculac. agua hiladora;cambiar rodamientos;20/10/2021;17:48:46;TRA;Trancamiento;;1;20/10/2021;5:48:46 p. m.;;12:00:00 a. m.;0,00;ROD;Rodamiento;DES;Deterioro esperado;METR ORAS;CREA;10033826;;CEGD
